id;nom;prenom;date_naissance;genre;nom_parent_2;prenom_parent_2;mob_parent_2;email_parent_2;info_sante;autorisation_image;nom_contact;mob_contact;parent_id
1;Automotive Gold;Handcrafted PNG;2021-06-13;FEMININ;Won circuit circuit;Soap invoice;"5898395379";wireless Industrial Silver;open-source Account;true;a multi-byte;"9842568526";1
2;applications Sausages;Networked;2021-06-13;MASCULIN;digital Account redundant;panel deliverables Concrete;"5338158207";Uruguay Rica;SSL;true;Car driver a;"7714366291";2
3;Enterprise-wide Account Account;Intelligent payment a;2021-06-13;MASCULIN;Guatemala Gorgeous;neural;"0424669159";Lesotho;de de;false;Frozen;"5779928299";1
4;24/7 la;Comoro a Shoes;2021-06-13;MASCULIN;c;c Polarised;"2396474528";connecting online;Industrial Avon c;true;Chips;"8790615492";1
5;Loan;application;2021-06-13;MASCULIN;Danemark;Specialiste;"6781084658";facilitate drive Centre;Pizza;true;Afghani Savings;"3414805386";2
6;Beauty Horizontal Basse-Normandie;Rubber;2021-06-13;FEMININ;Fiji;navigating alliance;"2438779147";deploy Decentralized Dauphine;Huchette Soft Saint-Honoré;false;Berkshire;"5996319385";1
7;Lithuanian monitoring silver;e-commerce high-level Caribbean;2021-06-12;FEMININ;feed;Fresh Tasty Gloves;"5945767026";Plastic;portals;true;Uruguay Refined;"3540155768";2
8;JBOD;Mouse Beauty;2021-06-13;FEMININ;feed Shirt;de bluetooth supply-chains;"2144184390";Generic neural SAS;vertical model;false;synergize;"0766825765";2
9;primary Metal 3rd;Auvergne Progressive Niger;2021-06-13;MASCULIN;Nord-Pas-de-Calais;override;"6011206414";blue;SAS;true;Executif transition;"8455244403";1
10;communities Credit Account;sensor fuchsia;2021-06-13;MASCULIN;systemic;c Cuba Plastic;"6066961001";Car;drive;true;Auto Kwanza;"8125193787";2
